"","article title","author","journal information","years of publication","number of citation"
"377","Predicting multivariate responses in multiple linear regression-Discussion","PH Garthwaite, PJ Brown, DJ Hand, S Wold, D Cox, JV Zidek, ...","Journal of the Royal Statistical Society: Series B (Statistical Methodology …, 1997","1997","3"
"378","J. Friedman J, The elements of statistical learning: data mining, inference, and prediction,(2009) New York, USA","T Hastie, R Tibshirani","Springer, 0","","3"
"379","R. Tibshirani.(2001)","J Friedman, T Hastie","The elements of statistical learning 1, 0","","3"
"380","Package ‘stepPlr’","MY Park, T Hastie, MMY Park","","2018","2"
"381","FIRE: functional inference of genetic variants that regulate gene expression","NM Ioannidis, JR Davis, MK DeGorter, NB Larson, SK McDonnell, ...","Bioinformatics 33 (24), 3895-3901, 2017","2017","2"
"382","Saturating Splines and Feature Selection","N Boyd, T Hastie, S Boyd, B Recht, M Jordan","arXiv preprint arXiv:1609.06764, 2016","2016","2"
"383","Effect of long-term antibiotic use on weight in adolescents with acne","DG Contopoulos-Ioannidis, C Ley, W Wang, T Ma, C Olson, X Shi, HS Luft, ...","Journal of Antimicrobial Chemotherapy 71 (4), 1098-1105, 2016","2016","2"
"384","Package ‘impute’","T Hastie, R Tibshirani, B Narasimhan, G Chu, MB Narasimhan, ...","","2011","2"
"385","Learning: Data Mining, Inference, and P","T Hastie, R Tibshirani, J Friedman","New York, 2009","2009","2"
"386","Data mining, inference and prediction. Vol. 2","T Hastie, R Tibshirani, J Friedman","Springer, 2009","2009","2"
"387","The Elements of Statistical Learning: Data Mining, Inference and Prediction, Springer","J Friedman, T Hastie, R Tibshirani","連結, 2008","2008","2"
"388","Model building and feature selection with genomic data","H Zou, T Hastie","Computational Methods of Feature Selection. Chapman & Hall/CRC, 393-411, 2007","2007","2"
"389","The lars Package","T Hastie, B Efron, MT Hastie","","2007","2"
"390","Supervised learning from microarray data","T Hastie, R Tibshirani, B Narasimhan, G Chu","Compstat, 67-77, 2002","2002","2"
"391","The element of statistical learning theory","T Hastie, R Tibshirani, J Friedman","Springer, 2001","2001","2"
"392","Trevor~, Robert T, David B, Russ B A","T Olga, C Michael, G Sherlock, B Pat","Missing Value Estimation Methods for DNA Microarrays 17, 520-525, 2001","2001","2"
"393","The elements of statistical learning (Vol. 1): Springer New York","T Hastie, R Tibshirani, JJH Friedman","","2001","2"
"394","Functional analysis of human motion data","D Ormoneit, T Hastie, MJ Black","Proc. 5th World Congress of the Bernoulli Society for Probability and …, 2000","2000","2"
"395","Non-linear Fourier time series analysis for human brain mapping by functional magnetic resonance imaging-Discussion","JB Poline","JOURNAL OF THE ROYAL STATISTICAL SOCIETY SERIES C-APPLIED STATISTICS 46 (1 …, 1997","1997","2"
"396","Usefulness of generalized additive models","I Campbell, T Hastie, R Tibshiram","Statistical methods in medical research 5 (3), 331-332, 1996","1996","2"
"397","Computer-aided diagnosis of mammographic masses","T Hastie, D Ikeda, R Tibshirani","University of Toronto, Department of Statistics, 1996","1996","2"
"398","Discussion: The Use of Polynomial Splines and their Tensor Products in Multivariate Function Estimation","T Hastie","The Annals of Statistics 22 (1), 177-179, 1994","1994","2"
"399","Flexible Discriminant Analysis: Adaptive Classification","T Hastie, R Tibshirani","University of Toronto, Department of Statistics, 1992","1992","2"
"400","Generalized additive models. Div","TJ Hastie, RJ Tibshirani","of Biostatistics, Technical Report, 1984","1984","2"
"401","J. and R. Tibshirani","HT Friedman, T Hastie","Additive logistic regression: a statistical view of boosting, 337-407, 0","","2"
"402","Lange k: Genomewide association analysis by lasso penalized logistic regression","TT Wu, YF Chen, T Hastie, E Sobel, K Lange","Bioinformatics, 0","","2"
"403","Physical activity is associated with changes in knee cartilage microstructure","E Halilaj, TJ Hastie, GE Gold, SL Delp","Osteoarthritis and cartilage 26 (6), 770-774, 2018","2018","1"
"404","Selection of effects in Cox frailty models by regularization methods","A Groll, T Hastie, G Tutz","Biometrics 73 (3), 846-856, 2017","2017","1"
"405","Combinatorial Extracellular Matrix Microenvironments for Probing Endothelial Differentiation of Human Pluripotent Stem Cells","L Hou, JJ Kim, M Wanjare, B Patlolla, J Coller, V Natu, TJ Hastie, ...","Scientific reports 7 (1), 6551, 2017","2017","1"
"406","Sparse EEG/MEG source estimation via a group lasso","M Lim, JM Ales, BR Cottereau, T Hastie, AM Norcia","PloS one 12 (6), e0176835, 2017","2017","1"
"407","Regularization in Cox frailty models","A Groll, T Hastie, G Tutz","","2016","1"
"408","Data representation and compression using linear-programming approximations","HS Paskov, JC Mitchell, TJ Hastie","arXiv preprint arXiv:1511.06606, 2015","2015","1"
"409","Package ‘pamr’","T Hastie, R Tibshirani, B Narasimhan, G Chu, MR Tibshirani","","2015","1"
"410","Package ‘glasso’","J Friedman, T Hastie, R Tibshirani, MR Tibshirani","","2015","1"
"411","Statistical Learning with Sparsity: The Lasso and Generalizations","M Wainwright","Taylor & Francis, 2015","2015","1"
"412","An efficient algorithm for large scale compressive feature learning","H Paskov, J Mitchell, T Hastie","Artificial Intelligence and Statistics, 760-768, 2014","2014","1"
"413","A Proportional Observer Bias Model for Multispecies Distribution Modeling","W Fithian, J Elith, T Hastie, DA Keith","arXiv preprint arXiv:1403.7274, 2014","2014","1"
"414","Least Absolute Gradient Selector: Statistical Regression via Pseudo-Hard Thresholding","K Yang","arXiv preprint arXiv:1204.2353, 2012","2012","1"
"415","Likelihood-Based Sufficient Dimension Reduction","M Zhu, TJ Hastie, RD COOK, L FORZANI","Journal of the American Statistical Association 105 (490), 880-881, 2010","2010","1"
"416","Response to Mease and Wyner, evidence contrary to the statistical view of boosting, JMLR 9: 1–26, 2008","J Friedman, T Hastie, R Tibshirani","Journal of Machine Learning Research 9, 59-64, 2008","2008","1"
"417","Model building and feature selection with genomic data","H Zou, T Hastie","Computational Methods, 393, 2008","2008","1"
"418","Stagewise algorithms and lasso-type problems","T Hastie, J Taylor, R Tibshirani, G Walther","Electronic journal of statistics, 2007","2007","1"
"419","Automatic bias correction methods in semi-supervised learning","H Zou, J Zhu, S Rosset, T Hastie","Contemporary Mathematics 443, 165, 2007","2007","1"
"420","Dimension Reduction Techniques","P Li, T Hastie, KC MSR","Workshop on Algorithms for Modern Massive Data Sets, 2006","2006","1"
"421","An RT-PCR-based multi-gene prognostic signature predicts distant metastasis of node negative, ER positive breast cancer from FFPE sections","KF Lau, A Wang, K Chew, H Dai, T Hastie, B Brandt, F Waldman, ...","Journal of Clinical Oncology 24 (18_suppl), 506-506, 2006","2006","1"
"422","Application of microarray analyses to identify genes involved in radiation-induced fibrosis","OK Rødningen, J Alsner, T Hastie, J Overgaard, AL Børresen-Dale","Breast Cancer Research 7 (2), P4. 21, 2005","2005","1"
"423","Support Vector Machines, Kernel Logistic Regression, and Boosting","T Hastie, JZ Tibshirani","","2003","1"
"424","Advances in GLM/GAM Modelling: From Species' Distribution to Environmental Management","A Guisan, TC Edwards, T Hastie","Elsevier Science, 2002","2002","1"
"425","Kernel methods","T Hastie, J Friedman, R Tibshirani","The elements of statistical learning, 165-192, 2001","2001","1"
"426","Prototype methods and nearest-neighbors","T Hastie, J Friedman, R Tibshirani","The Elements of Statistical Learning, 411-435, 2001","2001","1"
"427","Risk factors for progression of osteoarthritis: A longitudinal MRI study.","P Lang, S Biswal, MF Dillingham, G Bergman, T Hastie","ARTHRITIS AND RHEUMATISM 43 (9), S221-S221, 2000","2000","1"
"428","Bayesian Back tting","T Hastie, R Tibshirani","Technical Report, Stanford University, 1998","1998","1"
"429","Principal curves","T Hastie","JASA 28, 245-260, 1998","1998","1"
"430","The error coding and substitution PaCTs","G James, T Hastie","Advances in Neural Information Processing Systems, 542-548, 1998","1998","1"
"431","Division of Biostatistics","T Hastie, R Tibshirani, A Buja","","1997","1"
"432","Providing for the Analysis of Generalized Additive Models within a System already Capable of Generalized Linear and Nonlinear Regression","PW Lane, TJ Hastie","Computational Statistics, 391-396, 1992","1992","1"
"433","The< tex-math> ∏</tex-math> Method for Estimating Multivariate Functions from Noisy Data: Discussion","T Hastie, R Tibshirani","Technometrics 33 (2), 155-155, 1991","1991","1"
"434","Regression with qualitative and quantitative variables: an alternating least-squares method with optimal scaling features","TJ Hastie, RJ Tibshirani, TJ Hastie, RJ Tibshirani, TJ Hastie, RJ Tibshirani, ...","Generalized Additive Models 16 (C15), 1-8, 1990","1990","1"
"435","A new multiclass generalization of adaboost","J Zhu, S Rosset, T Hastie","Ann Arbor 1001, 48109, 0","","1"
"436","Н-norm Support Vector Machines","J Zhu, S Rosset, T Hastie, R Tibshirani","","","1"
"437","Modeling and Predicting Osteoarthritis Progression: Data from the Osteoarthritis Initiative","E Halilaj, Y Le, JL Hicks, TJ Hastie, SL Delp","Osteoarthritis and cartilage, 2018","2018",""
"438","Proteomic analysis of monolayer-integrated proteins on lipid droplets identifies amphipathic interfacial α-helical membrane anchors","CI Pataki, J Rodrigues, L Zhang, J Qian, B Efron, T Hastie, JE Elias, ...","Proceedings of the National Academy of Sciences, 201807981, 2018","2018",""
"439","Package ‘princurve’","T Hastie, A Weingessel, K Hornik, H Bengtsson, R Cannoodt, ...","","2018",""
"440","Gene expression profiling of low-grade endometrial stromal sarcoma indicates fusion protein-mediated activation of the Wnt signaling pathway","J Przybyl, L Kidzinski, T Hastie, M Debiec-Rychter, R Nusse, ...","Gynecologic oncology 149 (2), 388-393, 2018","2018",""
"441","Regularization and variable selection via the elastic net","M Xiong, J Akey, L Jin, M Xiong, A Akulin, I Bratko, D Altshuler, AG Clark, ...","Big Data in Omics and Imaging: Association Analysis 9 (5903), xxv-xxix, 2018","2018",""
"442","Package ‘glmpath’","MY Park, T Hastie, MMY Park","","2018",""
"443","Statistical power analysis for growth curve models using SAS","G Ralitza, A Agresti, A Agresti, C Ahn, M Heo, S Zhang, PD Allison, ...","Statistical Methods in Psychiatry and Related Fields: Longitudinal …, 2018","2018",""
"444","Escaping RGBland: Selecting colors for statistical graphics","JE Chacón, T Duong, JE Chacón, T Duong, JE Chacón, T Duong, ...","Multivariate Kernel Smoothing and its Applications 10 (206), 1-9, 2018","2018",""
"445","An Appetizer","TJ Hastie, JM Chambers","Statistical Models in S, 1-12, 2017","2017",""
"446","Synth-Validation: Selecting the Best Causal Inference Method for a Given Dataset","A Schuler, K Jung, R Tibshirani, T Hastie, N Shah","arXiv preprint arXiv:1711.00083, 2017","2017",""
"447","Package ‘ISLR’","G James, D Witten, T Hastie, R Tibshirani, MT Hastie, M Suggests","","2017",""
"448","Bachelor-und Masterarbeitsthemen im WS 2017/2018","G James, D Witten, T Hastie, R Tibshirani","","2017",""
"449","A Tutorial on Using the R Package FLLat","G Nowak, T Hastie, JR Pollack, R Tibshirani, N Johnson","","2017",""
"450","General notions of statistical depth function","C Ley, T Verdebout, T Abe, C Ley, T Abe, A Pewsey, T Abe, A Pewsey, ...","Modern Directional Statistics 52, 1-15, 2017","2017",""
"451","Multivariate pattern analysis of physical activity and cartilage health: data from the osteoarthritis initiative","E Halilaj, TJ Hastie, GE Gold, SL Delp","Osteoarthritis and Cartilage 25, S127-S128, 2017","2017",""
"452","Estimation and prediction in sparse and unbalanced tables","Q Zhao, T Hastie, D Pregibon","arXiv preprint arXiv:1703.02081, 2017","2017",""
"453","Targeted use of growth mixture modeling: a learning perspective","B Jo, RL Findling, CP Wang, TJ Hastie, EA Youngstrom, LE Arnold, ...","Statistics in medicine 36 (4), 671-686, 2017","2017",""
"454","The mystery of missing heritability: Genetic interactions create phantom heritability","RM Pfeiffer, MH Gail, O Aalen, O Aalen, O Borgan, H Gjessing, OO Aalen, ...","Absolute Risk: Methods and Applications in Clinical Management and Public …, 2017","2017",""
"455","Regularization and variable selection via the elastic net","Y Lee, L Rönnegård, M Noh, A Agresti, M Alam, L Rönnegård, X Shen, ...","Data Analysis Using Hierarchical Generalized Linear Models With R 112, 1-18, 2017","2017",""
"456","Human Amygdala Engagement Moderated by Early Life Stress Exposure is a Biobehavioral Target for Predicting Recovery on Antidepressants","A Goldstein, MS Korgaonkar, E Green, T Suppes, A Schatzberg, T Hastie, ...","NEUROPSYCHOPHARMACOLOGY 41, S373-S373, 2016","2016",""
"457","Bachelor-und Masterarbeitsthemen im WS 2016/2017","J Han, M Kamber, J Pei, MK Data Mining, T Hastie, R Tibshirani, ...","","2016",""
"458","Package ‘svmpath’","T Hastie, MT Hastie","","2016",""
"459","A Byte Code Compiler for R","JM Chambers, JJ Allaire, D Eddelbuettel, R Franҫois, RA Becker, ...","Extending R 5 (7), 1-58, 2016","2016",""
"460","“A Law of Comparative Judgment","T Hastie, R Tibshirani, J Freidman, TAB Snijders, RJ Bosker, A Baddeley, ...","The American Statistician 69 (4), 425-434, 2015","2015",""
"461","Package ‘hybridHclust’","H Chipman, R Tibshirani, MH Chipman","","2015",""
"462","Fast Algorithms for Learning with Long N-grams via Suffix Tree Based Matrix Multiplication.","HS Paskov, JC Mitchell, TJ Hastie","UAI, 672-681, 2015","2015",""
"463","Machine Learning: An Artificial Intelligence Methodology","E Alpaydın, TM Huang, V Kecman, I Kopriva, G James, D Witten, T Hastie, ...","Technometrics 57 (3), 440-443, 2015","2015",""
"464","ecospat. permut. glm 35","C Randin, A Guisan, T Hastie","Package ‘ecospat’, 35, 2015","2015",""
"465","pamr. batchadjust 3","T Hastie, R Tibshirani, B Narasimhan, G Chu","Package ‘pamr’, 3, 2015","2015",""
"466","Local case-control sampling: Efficient subsampling in imbalanced data sets","W Fithian, T Hastie","Quality control and applied statistics 60 (3), 187-190, 2015","2015",""
"467","Standardised cancer patient pathways (‘fast-track’) in Denmark: How is it used by the GP and what impact did ‘fast-track’have on diagnostic interval across time?","H Jensen, ML Tørring, J Overgaard, M Fenger-Grøn, F Olesen, P Vedsted","","2015",""
"468","The Value of Waiting to Invest","T Hastie, R Tibshirani, J Friedman, M Borenstein, LV Hedges, ...","Journal of the American Statistical Association 109 (508), 1712-1720, 2014","2014",""
"469","Abstract P019: Identifying Laboratory Markers of Incident Myocardial Infarction through Electronic Health Records","BA Goldstein, TI Chang, T Hastie, WC Winkelmayer","Circulation 129 (Suppl 1), AP019-AP019, 2014","2014",""
"470","Package ‘softImpute’","T Hastie, R Mazumder, MT Hastie","","2013",""
"471","Moving Beyond Linearity","G James, D Witten, T Hastie, R Tibshirani","An Introduction to Statistical Learning, 265-301, 2013","2013",""
"472","Referências para as disciplinas de Modelagem Descritiva e Preditiva e Análise Preditiva","G James, D Witten, T Hastie, R Tibshirani","Commun. ACM 55 (10), 78-87, 2012","2012",""
"473","Does Cross-validation Work when p≫ n?","L de Torrenté, T Hastie","","2012",""
"474","Package ‘sparsenet’","R Mazumder, T Hastie, J Friedman, MT Hastie","","2012",""
"475","Penalized spline estimation for functional coefficient regression models.","D Aydin, MS Tuzemen, D Aydin, M Memmedli, E Cantoni, E Ronchetti, ...","Journal of Applied Sciences 12 (7), 141-146, 2011","2011",""
"476","Synergistic application of geometric and radiometric features of LiDAR data for urban land cover mapping.","L Chen, X Cheng, K Jia, QZ Li, YC Tian, BF Wu, MM Hayes, SN Miller, ...","Journal of Software Engineering 10 (4), 2618-2623, 2011","2011",""
"477","Quantile regression: application and current research areas","HK Gjessing, P Grøttum, I Økland, SH Eik-Nes, LJ Salomon, C Pizzi, ...","The Journal of Maternal-Fetal & Neonatal Medicine 23 (8), 944-947, 2010","2010",""
"478","Package ‘ProDenICA’","T Hastie, R Tibshirani, MT Hastie","","2010",""
"479","Extracting cell-type-specific gene expression differences from complex tissues (144.30)","S Shen-Orr, R Tibshirani, P Khatri, A Gaidarski, D Bodian, F Staedtler, ...","The Journal of Immunology 184 (1 Supplement), 144.30-144.30, 2010","2010",""
"480","Extracting Cell-type-specific Gene Expression Differences from Complex Tissues","S Shen-Orr, A Gaidarski, R Tibshirani, P Khatri, M Davis, A Butte","Clinical Immunology, S10, 2010","2010",""
"481","On Consistency and Sparsity for Principal Components Analysis in High Dimensions Discussion","DM Witten, T Hastie, R Tibshirani","JOURNAL OF THE AMERICAN STATISTICAL ASSOCIATION 104 (486), 698-699, 2009","2009",""
"482","Package ‘rda’","Y Guo, T Hastie, MR Tibshirani","brain 10, 2, 2009","2009",""
"483","The glasso Package","J Friedman, T Hastie, R Tibshirani, MR Tibshirani","","2009",""
"484","FeaLect: Feature seLection by computing statistical scores.","S Oh, S Lee, MN Anyanwu, SG Shiva, PA Flach, N Lachiche, TF Wu, ...","Journal of Artificial Intelligence 8 (1), 230-240, 2009","2009",""
"485","The Elements of Statistical Learning: Data Mining, Inference, and Prediction The Elements of Statistical Learning: Data Mining, Inference, and Prediction, 2001","Y KANZAWA, Y ENDO, S MIYAMOTO","IEICE transactions on fundamentals of electronics, communications and …, 2008","2008",""
"486","Constrained K-means clustering with background knowledge.","A Lak, N Parhizgar, M Lak, S Rosset, J Zhu, H Zou, T Hastie, ...","Journal of Applied Sciences 15 (8), pp: 1161-1168-pp: 1161-1168, 2008","2008",""
"487","HER2 status in a large, population-based cohort: Analysis of distinct HER2 subgroups","KC Jensen, DA Turbin, S Leung, MA Miller, K Johnson, B Norris, T Hastie, ...","LABORATORY INVESTIGATION 88, 39A-39A, 2008","2008",""
"488","Discussion of “Evidence contrary to the statistical view of boosting”","J Friedman, T Hastie, R Tibshirani","","2007",""
"489","The pamr Package","T Hastie, R Tibshirani, B Narasimhan, G Chu, MR TIbshirani","","2007",""
"490","Structured additive regression for categorical space-time data. A mixed model approach.","AA Abiodun, BA Oyejola, AA Abiodun, PK Andersen, O Borgan, RD Gill, ...","Asian Journal of Mathematics & Statistics 5 (1), 74-79, 2007","2007",""
"491","Boosting Algorithms: Regularization, Prediction and Model Fitting. Comment.","T Hastie","Statistical science, 513-515, 2007","2007",""
"492","Effects of tumor stroma interaction on global gene expression in breast cancer","M Buess, D Nuyten, T Hastie, PO Brown","Journal of Clinical Oncology 24 (18_suppl), 10006-10006, 2006","2006",""
"493","P17. Effects of tumor–stroma interaction on global gene expression in breast cancer","M Buess, DSA Nuyten, T Hastie, PO Brown","EJC Supplements 4 (6), 33, 2006","2006",""
"494","Outlier sums for differential gene expression analysis","T Hastie, R Tibshirani","Biostatistics, 2006","2006",""
"495","Partial Least Squares.","I Camminatiello, A Lucadamo, AM Aguilera, M Escabias, MJ Valderrama, ...","Asian Journal of Mathematics & Statistics 3 (2), 1905-1924, 2006","2006",""
"496","Quantitative measurements of Parkinson's disease correlate alternating finger tapping in with UPDRS motor disability and reveal the improvement in fine motor control from …","ALT Tavares, G Jefferis, M Koop, BC Hill, T Hastie, G Heit, ...","MOVEMENT DISORDERS 20 (10), 1286-1298, 2005","2005",""
"497","Combination of two biological gene expression signatures in predicting outcome in breast cancer as an alternative for supervised classification","DSA Nuyten, HY Chang, JT Chi, JB Sneddon, H Bartelink, T Hastie, ...","EJC SUPPLEMENTS 3 (2), 71-72, 2005","2005",""
"498","The golden chain-Discussion","J Friedman, T Hastie, S Rosset, R Tibshirani, J Zhu","ANNALS OF STATISTICS 32 (1), 102-107, 2004","2004",""
"499","Gilbert Chu May 14, 2003","TJ Hastie, B Narasimhan, RJ Tibshirani","","2003",""
"500","Boosting and support vector machines as optimal separators","S Rosset, J Zhu, TJ Hastie","Document Recognition and Retrieval X 5010, 1-8, 2003","2003",""
"501","Estimation of Principal Components and Related Models by Iterative Least Squares.","A DAmbra, P Sarnacchiaro, H Abdi, JD Carrol, L Ambra, N Lauro, ...","Asian Journal of Mathematics & Statistics 3 (2), pp: 1-7-pp: 1-7, 2003","2003",""
"502","Surgery for Acquired Cardiovascular Disease (ACD)-Ischemia in three left ventricular regions: Insights into the pathogenesis of acute ischemic mitral regurgitation","TA Timek, DT Lai, F Tibayan, D Liang, GT Daughters, P Dagum, MK Zasio, ...","Journal of Thoracic and Cardiovascular Surgery 125 (3), 559-569, 2003","2003",""
"503","Class prediction by nearest shrunken","R TibShirani, T HaStie, BS NaraSimhan, G Chu","","2002",""
"504","Aspinall, RJ 301 Auger, P. 69 Augustin, NH 157","MP Austin, SC Barry, A Bouchard, MS Boyce, MA Burgman, B Chojnicki, ...","Ecological Modelling 157, 343, 2002","2002",""
"505","Feature Extraction and Dimension Reduction with Applications to Classification and the Analysis of Co-occurrence Data","TJ Hastie","","2001",""
"506","Basis Expansions and Regularization","T Hastie, J Friedman, R Tibshirani","The Elements of Statistical Learning, 115-163, 2001","2001",""
"507","Support Vector Machines and Flexible Discriminants, Chapter 4: Linear Methods for Classification","T HASTIE","The Elements of Statistical Learning-Data Mining, Inference, and Prediction, 2001","2001",""
"508","INDEX TO VOLUME 52, 2001","NM Adams, DJ Hand, RJ Till, OA Adekola, N Ahituv, Y Elovici, MM Akarte, ...","Journal of the Operational Research Society 52 (12), 1415-1420, 2001","2001",""
"509","ROBERT TIBSHIRANI","G WALTHER, T HASTIE","","2000",""
"510","Risk factors for progressive cartilage loss in osteoarthritis: A longitudinal MR imaging study","S Biswal, T Hastie, AG Bergman, CF Beaulieu, PK Lang","RADIOLOGY 213, 203-204, 1999","1999",""
"511","Conclusions and Future Research","PA Heidenreich, KM McDonald, T Hastie, B Fadel, V Hagan, BK Lee, ...","Agency for Healthcare Research and Quality (US), 1999","1999",""
"512","Technical Report No. 204 May 1999","G James, T Hastie","","1999",""
"513","β-blockers had similar clinical outcomes and were better tolerated than calcium antagonists in patients with stable angina","LH Opie","Evidence-based Cardiovascular Medicine 3 (3), 72, 1999","1999",""
"514","Flexible Statistical Models for Growth Fragments: a Study of Bone Mineral Acquisition","T Hastie, L Bachrach, B Narasimhan, MC Wang","","1999",""
"515","Revision April 24, 1999 Second Revision November 30, 1999","J Friedman, T Hastie, R Tibshirani","","1998",""
"516","PREPARED UNDER THE AUSPICES OF PUBLIC HEALTH SERVICE GRANT","T HASTIE, R TIBSHIRANI","","1998",""
"517","TECHNICAL REPORT NO. 197 MAY 7, 1998","T HASTIE, R TIBSHIRANI","","1998",""
"518","Consulting: Real Problems, Real Interactions, Real Outcomes.............. Richard Tweedie 1 (Resources Appendix by Sue Taylor) Estimation of Antigen-Responsive T Cell …","SM Perlmutter, PC Cosman, CW Tseng, RA Olshen, RM Gray, KCP Li, ...","Statistical Science (ISSN 0883-4237) 13 (1), 1998","1998",""
"519","Discussion: Polynomial Splines and their Tensor Products in Extended Linear Modeling","T Hastie, R Tibshirani","The Annals of Statistics 25 (4), 1451-1454, 1997","1997",""
"520","Character Recognition","T Hastie, PY Simard","","1997",""
"521","PUBLIC HEALTH SERVICE GRANT","T HASTIE, PY SIMARD","","1997",""
"522","DIVISION OF BIOSTATISTICS STANFORD UNIVERSITY STANFORD, CALIFORNIA","T HASTIE, R TIBSHIRANI","","1997",""
"523","Error coding and PaCT's","G James, T Hastie","","1997",""
"524","Biostatistical science as a discipline: a look into the future","BS Yandell, A Agresti, JC Baskerville, DM Bates, DG Watts, RA Becker, ...","Practical Data Analysis for Designed Experiments 35, 1-46, 1997","1997",""
"525","Dynamic Mixtures of Splines: a Model for Saliency Grouping in the Time Frequency Plane","SH Maes, HM St'ephane, T Hastie","","1997",""
"526","c Stanford University and University of Toronto","T Hastie, R Tibshirani","constraints 1, 2, 1996","1996",""
"527","Introduction: Organic crystal chemistry IX","DW Jones, A Katrusiak","Journal of Molecular Structure 374, 1-5, 1996","1996",""
"528","WI LEY-BLACKWELL","R Tibshirani, G Walther, T Hastie","","1996",""
"529","Usefulness of generalized additive models: Authors' reply","T Hastie, R Tibshirani","STATISTICAL METHODS IN MEDICAL RESEARCH 5, 331-332, 1996","1996",""
"530","Department of Statistics and Division of Biostatistics Stanford University","T Hastie, R Tibshirani","","1995",""
"531","Penalized discriminant analysis","L Clemmensen, T Hastie, D Witten, B Ersbøll","The Annals of Statistics, 1995","1995",""
"532","Correlated binary responses using a quadratic exponential model","M Davidian, DM Giltinan, T Amemiya, NS Aziz, JG Gambertoglio, ET Lin, ...","Nonlinear Models for Repeated Measurement Data 68 (11), 1-15, 1995","1995",""
"533","PREPARED UNDER THE AUSPICES OF","T HASTIE, R TIBSHIRANI","","1994",""
"534","CHARLES B. ROOSEN","TJ HASTIE","","1993",""
"535","THE ANNALS ISSN","DAR Barron, X Xiao, DL Breiman, DGK Golubev, RZ Hasminskii, D Duffy, ...","The Annals of Statistics (ISSN 0090-5364) 19 (1), 1991","1991",""
"536","Applied Linear Regression.","MP Iwundu, OP Efezino, A Agresti, KP Burnham, DR Anderson, ...","Asian Journal of Mathematics & Statistics 8 (1), 111-119, 1990","1990",""
"537","STOR®","T Hastie, W Stuetzle","Journal oi the American Statistical Association 84 (406), 502, 1989","1989",""
"538","THE ANNALS","T Hastie, R Tibshirani, DZ Chen, C Gu, G Wahba, DDD Cox, DRL Eubank, ...","The Annals of Statistics (ISSN 0090-5364) 17 (2), 1989","1989",""
"539","Modern Applied Statistics with S.","D Aydin, S Tuzemen, A Buja, T Hastie, R Tibshirani, W Hardle, M Muler, ...","Journal of Applied Sciences 10 (11), 453-455, 1989","1989",""
"540","Vol. 17 June 1989 No. 2","T Hastie, R Tibshirani, DL Breiman, DZ Chen, C Gu, G Wahba, DDD Cox, ...","Zeitschrift für Wahrscheinlichkeitstheorie 80 (1), 1988","1988",""
"541","WHAT THE HANDS REVEAL ABOUT THE BRAIN-POIZNER, H, KLIMA, ES, BELLUGI, U","B WOLL","BIOLOGICAL PSYCHOLOGY 25 (3), 280-282, 1987","1987",""
"542","Generalized Additive Models, Cubic Splines and Personalized Likelihood","T Hastie, R Tibshirani","University of Toronto, Department of Statistics, 1987","1987",""
"543","Wl LEY-BLACKWELL","T Hastie, R Tibshirani","","1987",""
"544","PRINCIPAL CURVES AND SURFACES (COMPONENTS, SMOOTH, NON-LINEAR, ORTHOGONAL, REGRESSION).","TJ HASTIE","","1986",""
"545","PROJECTION PURSUIT-DISCUSSION","T HASTIE, R TIBSHIRANI","ANNALS OF STATISTICS 13 (2), 502-508, 1985","1985",""
"546","Generalized additive models: for data analysis","TJ Hastie, RJ Tibshirani","","1984",""
"547","Journal Editor","KR Young, RJ Aspinall, SP Kaleidoscoping Landscapes, A Guisan, ...","Journal Editor 8, 1983, 1982","1982",""
"548","THE ANNALS","B Efron, C Morris, RA Maronna, D Birkes, Y Dodge, J Seely, M Jirina","The Annals of Statistics 4 (1), 1976","1976",""
"549","The elements of statistical learning [electronic resource]: data mining, inference, and prediction","T Hastie","Springer., 0","",""
"550","Best Subset, Forward Stepwise, or Lasso?","T Hastie, R Tibshirani, RJ Tibshirani","","",""
"551","4. Stuart Russell and Peter Norvig, Artificial Intelligence: A","B Chen, MM Kantard, T Hastie, R Tibshirani, J Friedman, J Han, ...","","",""
"552","Structural Variability","TD Wu, SC Schmidler, T Hastie, DL Brutlag","","",""
"553","Picture of Lasso and Ridge regression","R Tibshirani, R Mazumber, R Tibshirani, J Friedman, T Hastie","","",""
"554","Journal list menu","R Tibshirani, M Yuan, Y Lin, H Zou, T Hastie, J Fan, Q Li, Y Wang, J Lv, ...","","",""
"555","MTH 480/690–SEC 201–Special Topics: Data Mining CRN 3972/3999–Spring 2018","G James, D Witten, T Hastie, R Tibshirani","","",""
"556","913 17 MA Classification non supervisée","L Bellanger, R Tomassone, F Husson, S Lé, J Pagès, G James, D Witten, ...","Master 1 M1 Ingénierie Statistique (IS), 0","",""
"557","Comment on “Causal inference using invariant prediction”","Q Zhao, C Zheng, T Hastie, R Tibshirani","","",""
"558","Supplementary Material for Compressive Feature Learning","HS Paskov, R West, JC Mitchell, TJ Hastie","","",""
"559","Undergraduate Programs","N Moses, J Wuschke","Undergraduate/Graduate, 277, 0","",""
"560","Independent Component Analysis by Product Density Estimation","T Hastie, R Tibshirani","","",""
"561","DATA 5000: Introduction to Data Science","C O'Neil, R Schutt, F Provost, T Fawcett, G James, D Witten, T Hastie, ...","","",""
